分类: 🏀体育频道, 名称: 快乐垂钓, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: 498 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 🏀体育频道, 名称: 广东体育, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 10188 ms, 最高速率: 0.37 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 🏛经典剧场, 名称: 水浒传, 有效: 2, IPv4: 3, IPv6: 0, 最小延迟: 62 ms, 最高速率: 6.28 M/s, 平均速率: 6.28 M/s, 最高分辨率: 1920x1080
分类: ☘️江苏频道, 名称: 南京少儿, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 🏀体育频道, 名称: 五星体育, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 655 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 🏀体育频道, 名称: 安徽综艺体育, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 10899 ms, 最高速率: 0.08 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 🏀体育频道, 名称: 体育赛事, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 🏀体育频道, 名称: JJ斗地主, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 🏛经典剧场, 名称: 西游记, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 483 ms, 最高速率: 4.80 M/s, 平均速率: 4.80 M/s, 最高分辨率: 1920x1080
分类: 🏛经典剧场, 名称: 闯关东, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 608 ms, 最高速率: 8.55 M/s, 平均速率: 8.55 M/s, 最高分辨率: 1920x1080
分类: ☘️江苏频道, 名称: 江苏城市, 有效: 0, IPv4: 13, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️江苏频道, 名称: 苏州新闻综合, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 1187 ms, 最高速率: 0.72 M/s, 平均速率: 0.72 M/s, 最高分辨率: 1920x1080
分类: ☘️四川频道, 名称: 万源新闻综合, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️江苏频道, 名称: 江苏影视, 有效: 0, IPv4: 14, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️四川频道, 名称: 乐至综合, 有效: 3, IPv4: 3, IPv6: 0, 最小延迟: 3101 ms, 最高速率: 0.70 M/s, 平均速率: 0.67 M/s, 最高分辨率: 1920x1080
分类: ☘️四川频道, 名称: 利州综合, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️四川频道, 名称: 井研综合, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 3252 ms, 最高速率: 0.46 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: ☘️四川频道, 名称: 叙州新闻综合, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
